task_name,index,model_name,score
summarization,2,sample_model,0.6440489292144775
summarization,3,sample_model,0.7215604782104492
summarization,4,sample_model,0.7624413371086121
summarization,5,sample_model,0.8213643431663513
summarization,6,sample_model,0.7074353098869324
summarization,7,sample_model,0.6956431269645691
summarization,8,sample_model,0.6606651544570923
summarization,9,sample_model,0.6792101860046387
summarization,10,sample_model,0.7246650457382202
summarization,11,sample_model,0.7444251775741577
summarization,12,sample_model,0.7146320939064026
summarization,13,sample_model,0.7427389621734619
summarization,14,sample_model,0.617239773273468
summarization,15,sample_model,0.6927735805511475
summarization,16,sample_model,0.8189855813980103
summarization,17,sample_model,0.7103321552276611
summarization,18,sample_model,0.6351221203804016
summarization,19,sample_model,0.7738497257232666
summarization,20,sample_model,0.7167463302612305
summarization,21,sample_model,0.7648886442184448
summarization,22,sample_model,0.7042598724365234
summarization,23,sample_model,0.6737651824951172
summarization,24,sample_model,0.678173303604126
summarization,25,sample_model,0.6739746928215027
summarization,26,sample_model,0.7184725403785706
summarization,27,sample_model,0.7937811613082886
summarization,28,sample_model,0.6649137735366821
summarization,29,sample_model,0.6104397773742676
summarization,30,sample_model,0.6996054649353027
summarization,31,sample_model,0.5982414484024048
summarization,32,sample_model,0.6642165184020996
summarization,33,sample_model,0.6567453742027283
summarization,34,sample_model,0.6764543652534485
summarization,35,sample_model,0.7318620085716248
summarization,36,sample_model,0.6824448108673096
summarization,37,sample_model,0.6607040166854858
summarization,38,sample_model,0.6988953948020935
summarization,39,sample_model,0.67828369140625
summarization,40,sample_model,0.7605141401290894
summarization,41,sample_model,0.6808289885520935
summarization,42,sample_model,0.6991153359413147
summarization,43,sample_model,0.7434890866279602
summarization,44,sample_model,0.8108192086219788
summarization,45,sample_model,0.6707384586334229
summarization,46,sample_model,0.672233521938324
summarization,47,sample_model,0.7500709891319275
summarization,48,sample_model,0.7494128346443176
summarization,49,sample_model,0.7241279482841492
summarization,50,sample_model,0.7368091344833374
summarization,51,sample_model,0.7302531003952026
summarization,52,sample_model,0.6810854077339172
summarization,53,sample_model,0.7639175057411194
summarization,54,sample_model,0.681670606136322
summarization,55,sample_model,0.6389948725700378
summarization,56,sample_model,0.7286736369132996
summarization,57,sample_model,0.7136213183403015
summarization,58,sample_model,0.805404782295227
summarization,59,sample_model,0.7331814169883728
summarization,60,sample_model,0.6604921221733093
summarization,61,sample_model,0.6511756777763367
summarization,62,sample_model,0.6410881876945496
summarization,63,sample_model,0.6645558476448059
summarization,64,sample_model,0.6387126445770264
summarization,65,sample_model,0.6976645588874817
summarization,66,sample_model,0.7895207405090332
summarization,67,sample_model,0.6869792938232422
summarization,68,sample_model,0.6941083669662476
summarization,69,sample_model,0.716157853603363
summarization,70,sample_model,0.6647936701774597
summarization,71,sample_model,0.6939254403114319
summarization,72,sample_model,0.5983208417892456
summarization,73,sample_model,0.669272780418396
summarization,74,sample_model,0.6966773271560669
summarization,75,sample_model,0.6716321706771851
summarization,76,sample_model,0.7050550580024719
summarization,77,sample_model,0.7633312940597534
summarization,78,sample_model,0.6457409262657166
summarization,79,sample_model,0.650772213935852
summarization,80,sample_model,0.7892346382141113
summarization,81,sample_model,0.7552304863929749
summarization,82,sample_model,0.5991611480712891
summarization,83,sample_model,0.7846693396568298
summarization,84,sample_model,0.6904508471488953
summarization,85,sample_model,0.7416102886199951
summarization,86,sample_model,0.7028006315231323
summarization,87,sample_model,0.656003475189209
summarization,88,sample_model,0.7433267831802368
summarization,89,sample_model,0.6973328590393066
summarization,90,sample_model,0.8180831670761108
summarization,91,sample_model,0.6801406145095825
summarization,92,sample_model,0.7053329944610596
summarization,93,sample_model,0.7744178771972656
summarization,94,sample_model,0.7157104015350342
summarization,95,sample_model,0.7223234176635742
summarization,96,sample_model,0.7268961071968079
summarization,97,sample_model,0.6739931106567383
summarization,98,sample_model,0.6557201743125916
summarization,99,sample_model,0.6852176785469055
summarization,100,sample_model,0.6686115264892578
